Iteration,==PROF== Connected to process 21208 (E:\3CS\PFE learning\building-aggressors-on-Orin\first-experiments\poc\ncuoverhead\ncuhead.exe)
1,==PROF== Disconnected from process 21208
1,"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
6,"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second","byte/s","189,456.15"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_bytes.min","byte","184,320"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_request_hit_rate.ratio","","1.00"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_requests.max","request","2,123,359"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_requests.min","request","1,451"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_requests.sum","request","2,135,226"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","100.03"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.06"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sectors_aperture_sysmem_op_read.sum.per_second","sector/s","6,134,284.77"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sectors_op_read.sum.per_second","sector/s","6,287,619.49"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sectors_op_write.sum.per_second","sector/s","21,765.37"
6,"0","20460","ncuhead.exe","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","smsp__cycles_active.avg.pct_of_peak_sustained_elapsed","%","99.62"
