Iteration,Metric_Name,Metric_Value,Metric_Unit
13,lts__t_sector_hit_rate.pct,4994,%
13,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
13,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62770,sector/s
13,lts__t_sectors_op_read.sum.per_second,2 62770,sector/s
13,lts__t_sectors_op_write.sum.per_second,2 44390,sector/s
13,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9992,%
13,smsp__inst_executed_op_global_ld.sum,512,inst
13,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
13,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
13,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
13,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
14,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 71432,byte/s
14,lts__t_bytes.min,35 072,byte
14,lts__t_request_hit_rate.ratio,046,
14,lts__t_requests.max,285,request
14,lts__t_requests.min,280,request
14,lts__t_requests.sum,1 128,request
14,lts__t_sector_hit_rate.pct,4994,%
14,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
14,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62779,sector/s
14,lts__t_sectors_op_read.sum.per_second,2 62779,sector/s
14,lts__t_sectors_op_write.sum.per_second,2 44399,sector/s
14,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9994,%
14,smsp__inst_executed_op_global_ld.sum,512,inst
14,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
14,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
14,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
14,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
15,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 71719,byte/s
15,lts__t_bytes.min,34 816,byte
15,lts__t_request_hit_rate.ratio,046,
15,lts__t_requests.max,289,request
15,lts__t_requests.min,278,request
15,lts__t_requests.sum,1 128,request
15,lts__t_sector_hit_rate.pct,4994,%
15,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
15,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62789,sector/s
15,lts__t_sectors_op_read.sum.per_second,2 62789,sector/s
15,lts__t_sectors_op_write.sum.per_second,2 44408,sector/s
